user_rank,user_id,number_of_interactions
350,336,11800
351,316,11789
352,264,11708
353,518,11667
354,525,11658
355,523,11637
356,539,11629
357,723,11585
358,962,11390
359,412,11351
360,674,11342
361,393,11326
362,132,11302
363,209,11290
364,867,11202
365,501,11194
366,244,11173
367,724,11164
368,329,11159
369,854,11153
370,516,11103
371,57,11100
372,697,11020
373,914,11015
374,610,11012
375,777,11010
376,199,11003
377,129,10958
378,704,10919
379,784,10891
380,648,10873
381,420,10826
382,161,10806
383,802,10798
384,630,10782
385,985,10747
386,638,10726
387,991,10705
388,101,10697
389,863,10691
390,651,10667
391,292,10648
392,878,10631
393,576,10613
394,280,10566
395,965,10557
396,951,10538
397,615,10533
398,748,10512
399,231,10506
400,281,10478
401,804,10427
402,694,10410
403,554,10393
404,601,10358
405,150,10338
406,2,10321
407,494,10300
408,133,10257
409,24,10256
410,908,10241
411,374,10232
412,764,10229
413,808,10227
414,916,10211
415,957,10137
416,979,10117
417,278,10114
418,3,10093
419,639,10069
420,514,10059
421,948,10036
422,507,9951
423,242,9947
424,154,9922
425,463,9921
426,866,9878
427,505,9871
428,120,9803
429,597,9785
430,217,9757
431,56,9744
432,934,9742
433,901,9735
434,930,9733
435,35,9724
436,653,9721
437,284,9718
438,323,9693
439,373,9682
440,352,9676
441,14,9661
442,470,9591
443,158,9585
444,628,9583
445,99,9566
446,485,9560
447,139,9546
448,499,9539
449,559,9534
450,441,9531
451,232,9527
452,987,9523
453,55,9506
454,681,9384
455,824,9358
456,189,9317
457,346,9311
458,331,9307
459,258,9242
460,791,9166
461,506,9165
462,625,9101
463,136,9095
464,64,9053
465,819,9045
466,169,9043
467,299,9043
468,285,9034
469,562,9022
470,318,9004
471,395,8984
472,416,8928
473,753,8912
474,196,8877
475,376,8851
476,207,8838
477,401,8832
478,437,8816
479,81,8813
480,61,8801
481,577,8741
482,314,8699
483,216,8696
484,747,8688
485,440,8681
486,296,8674
487,838,8646
488,168,8621
489,403,8554
490,239,8553
491,212,8526
492,956,8521
493,208,8520
494,353,8499
495,810,8473
496,266,8469
497,716,8463
498,880,8443
499,429,8421
500,355,8384
501,476,8348
502,425,8335
503,433,8294
504,45,8268
505,982,8267
506,397,8229
507,549,8227
508,270,8214
509,164,8179
510,371,8162
511,731,8136
512,394,8134
513,126,8075
514,310,8074
515,260,8048
516,598,8047
517,763,8021
518,599,7953
519,799,7916
520,167,7913
521,813,7877
522,964,7863
523,391,7855
524,409,7842
525,783,7842
526,36,7813
527,544,7810
528,388,7792
529,436,7785
530,971,7768
531,431,7750
532,846,7739
533,869,7723
534,997,7696
535,999,7683
536,741,7675
537,90,7651
538,590,7641
539,961,7597
540,422,7585
541,686,7574
542,79,7569
543,560,7541
544,251,7532
545,885,7498
546,606,7492
547,172,7490
548,929,7472
549,668,7471
550,49,7443
551,128,7426
552,357,7410
553,483,7362
554,992,7360
555,896,7350
556,960,7348
557,384,7324
558,122,7316
559,252,7315
560,603,7312
561,989,7262
562,978,7256
563,362,7237
564,380,7187
565,765,7186
566,163,7175
567,683,7141
568,236,7121
569,102,7106
570,66,7105
571,814,7102
572,34,7099
573,830,7092
574,193,7081
575,406,7043
576,321,6999
577,428,6988
578,892,6969
579,617,6953
580,898,6945
581,304,6909
582,74,6883
583,717,6879
584,780,6874
585,175,6868
586,519,6853
587,67,6840
588,183,6829
589,785,6826
590,179,6798
591,853,6770
592,300,6764
593,275,6732
594,147,6719
595,308,6717
596,114,6674
597,356,6666
598,407,6649
599,817,6617
600,927,6596
601,624,6587
602,134,6581
603,945,6561
604,541,6559
605,528,6555
606,511,6541
607,685,6532
608,795,6528
609,135,6511
610,825,6505
611,214,6488
612,595,6484
613,682,6478
614,432,6468
615,473,6464
616,301,6433
617,188,6432
618,941,6424
619,667,6415
620,774,6376
621,517,6361
622,770,6350
623,400,6335
624,751,6295
625,730,6287
626,789,6270
627,277,6249
628,350,6248
629,855,6246
630,489,6217
631,742,6213
632,760,6204
633,298,6170
634,931,6154
635,670,6147
636,928,6140
637,59,6135
638,513,6131
639,396,6095
640,646,6087
641,426,6084
642,274,6070
643,733,6065
644,5,6048
645,545,6036
646,994,6027
647,342,5998
648,478,5988
649,18,5987
650,326,5986
651,263,5969
652,250,5958
653,803,5937
654,521,5929
655,387,5925
656,148,5923
657,398,5923
658,312,5917
659,52,5905
660,842,5868
661,699,5866
662,758,5864
663,919,5860
664,721,5855
665,328,5852
666,160,5834
667,48,5817
668,399,5805
669,41,5801
670,726,5779
671,967,5772
672,343,5755
673,235,5750
674,91,5749
675,276,5725
676,290,5725
677,536,5705
678,578,5700
679,354,5662
680,650,5657
681,8,5626
682,712,5624
683,983,5619
684,424,5573
685,708,5566
686,736,5566
687,766,5564
688,177,5557
689,634,5553
690,174,5532
691,620,5512
692,692,5493
693,178,5452
694,883,5436
695,737,5400
696,486,5386
697,586,5376
698,645,5366
699,588,5352
700,857,5331
701,675,5301
702,816,5292
703,305,5278
704,984,5266
705,690,5253
706,484,5229
707,472,5213
708,891,5197
709,414,5189
710,900,5164
711,105,5159
712,392,5158
713,124,5142
714,97,5129
715,861,5117
716,107,5064
717,910,5062
718,11,5061
719,481,5042
720,512,4998
721,701,4932
722,245,4922
723,533,4877
724,44,4874
725,623,4864
726,745,4861
727,567,4829
728,491,4791
729,757,4790
730,618,4756
731,870,4732
732,233,4729
733,626,4691
734,676,4689
735,255,4681
736,256,4608
737,370,4589
738,580,4582
739,585,4559
740,488,4550
741,259,4531
742,612,4530
743,786,4529
744,543,4519
745,752,4504
746,875,4485
747,496,4484
748,833,4477
749,200,4471
750,807,4408
751,13,4389
752,556,4386
753,330,4372
754,439,4370
755,515,4353
756,644,4353
757,40,4317
758,700,4303
759,119,4292
760,327,4279
761,339,4270
762,966,4222
763,607,4221
764,162,4200
765,267,4185
766,108,4143
767,28,4135
768,756,4127
769,847,4127
770,155,4121
771,636,4065
772,888,4046
773,950,4037
774,641,4036
775,918,4035
776,333,4034
777,619,4014
778,361,3997
779,279,3947
780,451,3921
781,402,3890
782,621,3889
783,77,3881
784,714,3879
785,743,3873
786,666,3834
787,654,3820
788,20,3806
789,574,3783
790,313,3746
791,794,3674
792,360,3671
793,369,3658
794,152,3645
795,257,3645
796,719,3598
797,570,3562
798,958,3555
799,711,3548
800,390,3543
801,843,3540
802,738,3539
803,479,3536
804,534,3536
805,241,3524
806,379,3520
807,530,3512
808,735,3500
809,889,3487
810,449,3455
811,248,3443
812,933,3410
813,980,3409
814,117,3395
815,96,3378
816,243,3371
817,608,3368
818,271,3361
819,532,3356
820,195,3329
821,444,3309
822,642,3291
823,538,3265
824,445,3242
825,30,3222
826,249,3181
827,569,3169
828,768,3150
829,113,3145
830,51,3135
831,677,3122
832,141,3114
833,822,3102
834,584,3075
835,593,3068
836,317,3031
837,411,2988
838,729,2982
839,792,2977
840,227,2928
841,551,2922
842,665,2922
843,865,2916
844,116,2871
845,832,2863
846,655,2850
847,827,2837
848,86,2814
849,222,2802
850,698,2800
851,557,2797
852,722,2785
853,696,2768
854,881,2723
855,88,2719
856,421,2715
857,131,2710
858,912,2693
859,877,2687
860,358,2659
861,442,2657
862,801,2646
863,946,2645
864,363,2634
865,10,2588
866,688,2581
867,182,2558
868,185,2552
869,461,2518
870,63,2501
871,633,2495
872,498,2444
873,531,2444
874,622,2401
875,749,2394
876,572,2356
877,25,2328
878,755,2326
879,693,2303
880,95,2273
881,103,2270
882,368,2265
883,42,2238
884,691,2230
885,377,2229
886,201,2213
887,302,2191
888,800,2169
889,923,2162
890,341,2133
891,806,2112
892,386,2102
893,452,2089
894,820,2089
895,935,2072
896,943,2070
897,349,2066
898,922,2059
899,309,2034
900,890,2027
901,262,2018
902,254,1993
903,952,1940
904,137,1928
905,415,1924
906,773,1923
907,32,1911
908,662,1882
909,337,1877
910,940,1870
911,38,1869
912,171,1866
913,87,1865
914,288,1841
915,297,1824
916,311,1820
917,247,1814
918,223,1804
919,949,1804
920,705,1777
921,1,1760
922,564,1726
923,474,1715
924,78,1713
925,443,1708
926,92,1692
927,537,1692
928,319,1666
929,378,1646
930,637,1611
931,306,1609
932,43,1604
933,917,1597
934,37,1552
935,287,1552
936,493,1526
937,194,1507
938,663,1470
939,660,1468
940,579,1443
941,522,1421
942,689,1416
943,459,1391
944,504,1384
945,874,1383
946,864,1372
947,845,1364
948,550,1330
949,456,1289
950,72,1276
951,661,1245
952,186,1239
953,826,1228
954,520,1215
955,12,1190
956,905,1185
957,273,1180
958,480,1150
959,143,1143
960,203,1089
961,778,1088
962,902,1087
963,307,1061
964,657,1039
965,839,1033
966,230,1005
967,805,1000
968,93,991
969,746,964
970,897,940
971,754,927
972,405,909
973,818,908
974,220,863
975,631,816
976,253,807
977,776,768
978,555,725
979,340,719
980,419,701
981,320,698
982,963,695
983,475,681
984,17,669
985,165,578
986,471,557
987,224,553
988,713,526
989,469,503
990,404,498
991,913,493
992,146,450
993,9,449
994,609,445
995,955,410
996,771,375
997,647,354
998,170,219
999,815,208
1000,467,128
